bn,hi,te
বইটা পড়া শেষ করেছি।,मैंने किताब पढ़ना ख़त्म कर दिया है।,పుస్తకం చదవడం పూర్తి చేశాను.
অনুগ্রহ করে সেই বইটি পড়ুন।,कृपया वह पुस्तक पढें.,దయచేసి ఆ పుస్తకం చదవండి.
বইটা পড়েন নি?,क्या तुमने किताब नहीं पढ़ी?,మీరు పుస్తకం చదవలేదా?
দয়া করে আমাকে সেই বইটি দিন।,कृपया वह पुस्तक मुझे दे दो।,దయచేసి ఆ పుస్తకాన్ని నాకు ఇవ్వండి.
আপনি কি বই অর্ডার করেছেন?,क्या आपने पुस्तक का ऑर्डर दिया?,మీరు పుస్తకాన్ని ఆర్డర్ చేశారా?
বইটি আবার শেলফে রাখুন।,किताब को वापस शेल्फ पर रख दो।,పుస్తకాన్ని తిరిగి షెల్ఫ్‌లో ఉంచండి.
আপনি কি বইটি লাইব্রেরিতে নিয়ে গেছেন?,क्या आप पुस्तक वापस पुस्तकालय में ले गए?,మీరు పుస్తకాన్ని తిరిగి లైబ్రరీకి తీసుకెళ్లారా?
আমার মনে আছে আমি সেই বইটি লাইব্রেরিতে ফিরিয়ে দিয়েছিলাম।,मुझे याद है कि मैंने वह किताब पुस्तकालय में वापस कर दी थी।,నేను ఆ పుస్తకాన్ని లైబ్రరీకి తిరిగి ఇచ్చాను.
বইটি নিতে পারেন।,आप पुस्तक ले सकते हैं.,మీరు పుస్తకాన్ని తీసుకోవచ్చు.
টেবিলের উপর বই রাখুন।,पुस्तक को मेज़ पर रखें।,పుస్తకాన్ని టేబుల్ మీద ఉంచండి.
বইটি যেখানে ছিল সেখানে রেখে দিন।,पुस्तक को वापस वहीं रख दो जहां वह थी।,పుస్తకాన్ని తిరిగి ఉన్న చోట ఉంచండి.
বইটি যেখানে পেয়েছেন সেখানে রাখুন।,पुस्तक को वहीं रखें जहां आपको वह मिली थी।,మీకు దొరికిన చోట పుస్తకాన్ని ఉంచండి.
আপনি কি বই পড়া শেষ করেছেন?,क्या आपने पुस्तक पढना समाप्त कर लिया है?,మీరు పుస్తకం చదవడం పూర్తి చేశారా?
বইটা দাও।,मुझे किताब दे दो.,నాకు పుస్తకం ఇవ్వండి.
"বইটা আমার কাছে নিয়ে এসো, টমের কাছে নয়।","किताब मेरे पास लाओ, टॉम के पास नहीं।","పుస్తకాన్ని నా దగ్గరకు తీసుకురండి, టామ్‌కి కాదు."
অনুগ্রহ করে বইটি শেলফে রাখুন।,कृपया पुस्तक को शेल्फ पर रख दें।,దయచేసి పుస్తకాన్ని షెల్ఫ్‌లో ఉంచండి.
আপনি সেই বইটি কোথায় কিনেছেন?,आपने वह किताब कहां से खरीदी?,ఆ పుస్తకం ఎక్కడ కొన్నావు?
আপনি উভয় বই আকর্ষণীয় পাবেন.,आपको दोनों पुस्तकें दिलचस्प लगेंगी।,మీరు రెండు పుస్తకాలను ఆసక్తికరంగా కనుగొంటారు.
আপনি কি আকর্ষণীয় বই খুঁজে পেয়েছেন?,क्या आपको पुस्तक दिलचस्प लगी?,మీకు పుస్తకం ఆసక్తికరంగా అనిపించిందా?
আমি এই বইটি খুব আকর্ষণীয় খুঁজে পেয়েছি।,मुझे यह पुस्तक बहुत रोचक लगी।,నాకు ఈ పుస్తకం చాలా ఆసక్తికరంగా అనిపించింది.
আপনি কি বই পড়েছেন?,क्या आपने पुस्तक पढ़ ली है?,మీరు పుస్తకం చదివారా?
এই বই পড়া সহজ.,यह पुस्तक पढने में आसान है।,ఈ పుస్తకం చదవడం సులభం.
এই বইটি কার লেখা?,यह पुस्तक किसके द्वारा लिखी गई थी?,ఈ పుస్తకం ఎవరు రచించారు?
লাইব্রেরির ঐতিহাসিক বিভাগে আপনি সেই বইটি পাবেন।,आपको वह पुस्तक पुस्तकालय के ऐतिहासिक अनुभाग में मिलेगी।,మీరు ఆ పుస్తకాన్ని లైబ్రరీలోని చారిత్రక విభాగంలో కనుగొంటారు.
আপনি এই বইটি লাইব্রেরিতে পাবেন।,आपको यह पुस्तक पुस्तकालय में मिल जाएगी।,మీరు ఈ పుస్తకాన్ని లైబ్రరీలో కనుగొంటారు.
বইটির কিছু অংশ বেশ ভালো।,पुस्तक के कुछ भाग काफी अच्छे हैं।,పుస్తకంలోని కొన్ని భాగాలు చాలా బాగున్నాయి.
আমি আগে এই বই পড়েছি.,मैंने यह किताब पहले भी पढ़ी है।,ఈ పుస్తకం ఇంతకు ముందు చదివాను.
আমি ইতিমধ্যে বইটি পড়েছি।,मैं पहले ही किताब पढ़ चुका हूं।,నేను ఇప్పటికే పుస్తకం చదివాను.
আমি সব বই পড়িনি।,मैंने सारी किताबें नहीं पढ़ी हैं.,నేను అన్ని పుస్తకాలు చదవలేదు.
বই কই?,किताब कहां है?,పుస్తకం ఎక్కడ ఉంది?
তিনি বইটির সব কপি ধ্বংস করার দাবি জানিয়েছেন।,उन्होंने मांग की है कि पुस्तक की सभी प्रतियां नष्ट कर दी जाएं।,పుస్తకం కాపీలన్నీ ధ్వంసం చేయాలని డిమాండ్ చేశారు.
আমি এই বইটি আকর্ষণীয় খুঁজে পেয়েছি।,मुझे यह पुस्तक दिलचस्प लगी।,నాకు ఈ పుస్తకం ఆసక్తికరంగా అనిపించింది.
বইটি কি আকর্ষণীয় ছিল?,क्या पुस्तक दिलचस्प थी?,పుస్తకం ఆసక్తికరంగా ఉందా?
বইটি উপরের তাকটিতে রাখুন।,पुस्तक को सबसे ऊपरी शेल्फ पर रखें।,పుస్తకాన్ని పైభాగంలో ఉన్న షెల్ఫ్‌లో ఉంచండి.
বইটি নীচের শেলফে রাখুন।,पुस्तक को नीचे वाली शेल्फ पर रखें।,పుస్తకాన్ని దిగువ షెల్ఫ్‌లో ఉంచండి.
এই বই পড়া উপকারী.,यह पुस्तक पढना लाभदायक है।,ఈ పుస్తకం చదవడం ప్రయోజనకరం.
বইটির দাম ছিল $5।,पुस्तक का मूल्य 5 डॉलर था।,పుస్తకం ధర $5.
আমি আমার নোটবুকে বই থেকে একটি প্যাসেজ কপি করেছি।,मैंने पुस्तक से एक अंश अपनी नोटबुक में कॉपी कर लिया।,నేను పుస్తకం నుండి ఒక భాగాన్ని నా నోట్‌బుక్‌లోకి కాపీ చేసాను.
বইয়ের দুটি পৃষ্ঠা একে অপরের সাথে আটকে ছিল।,पुस्तक के दो पृष्ठ एक दूसरे से चिपके हुए थे।,పుస్తకంలోని రెండు పేజీలు ఒకదానికొకటి అతుక్కుపోయాయి.
বই দুটির যেকোনো একটি নিতে পারেন।,आप दोनों में से कोई भी पुस्तक ले सकते हैं।,మీరు రెండు పుస్తకాలలో దేనినైనా తీసుకోవచ్చు.
বইটির শিরোনাম কি?,पुस्तक का शीर्षक क्या है?,పుస్తకం యొక్క శీర్షిక ఏమిటి?
সব বই শিক্ষামূলক নয়।,सभी पुस्तकें शिक्षाप्रद नहीं हैं।,అన్ని పుస్తకాలు విద్యావంతులు కావు.
এই বইগুলির কোনটিই আকর্ষণীয় নয়।,इनमें से कोई भी पुस्तक दिलचस्प नहीं है।,ఈ పుస్తకాలు ఏవీ ఆసక్తికరంగా లేవు.
বই সম্পর্কে তার মন্তব্য অনুকূল ছিল।,पुस्तक के बारे में उनकी टिप्पणियाँ अनुकूल थीं।,పుస్తకం గురించి ఆయన చేసిన వ్యాఖ్యలు సానుకూలంగా ఉన్నాయి.
বইটি সম্পর্কে আপনি কি মনে করেন?,आप पुस्तक के बारे में क्या सोचते हैं?,పుస్తకం గురించి మీరు ఏమనుకుంటున్నారు?
যার ইচ্ছা বইটি নিতে পারেন।,"जो कोई भी पुस्तक चाहता है, वह उसे ले सकता है।",పుస్తకం కావాల్సిన వారు తీసుకోవచ్చు.
আপনি এই বইটি যার প্রয়োজন তাকে দিতে পারেন।,आप यह पुस्तक जिसे भी चाहिए उसे दे सकते हैं।,ఈ పుస్తకాన్ని ఎవరికి కావాలో వారికి ఇవ్వవచ్చు.
খামারে প্রায় ৫ শতাধিক গবাদিপশু রয়েছে।,फार्म पर लगभग 500 मवेशी हैं।,పొలంలో దాదాపు 500 పశువులున్నాయి.
বিদ্রোহ দমন করতে অনেক সময় লাগবে।,विद्रोह को दबाने में काफी समय लगेगा।,తిరుగుబాటును అణచివేయడానికి చాలా సమయం పడుతుంది.
টুপি তাকে পুরোপুরি মানায়।,टोपी उसे बिल्कुल फिट बैठती है।,టోపీ అతనికి సరిగ్గా సరిపోతుంది.
টুপি আমার জন্য খুব ছোট.,टोपी मेरे लिए बहुत छोटी है.,టోపీ నాకు చాలా చిన్నది.
যে টুপি আপনি হয়.,वह टोपी आप बन जाती है।,ఆ టోపీ మీరే అవుతుంది.
এই টুপি আপনার জন্য খুব ছোট.,यह टोपी आपके लिए बहुत छोटी है।,ఈ టోపీ మీకు చాలా చిన్నది.
সেই টুপিটির দাম প্রায় পঞ্চাশ ডলার।,उस टोपी की कीमत लगभग पचास डॉलर थी।,ఆ టోపీ ధర దాదాపు యాభై డాలర్లు.
এই আইন এখনও কার্যকর আছে।,यह कानून अभी भी प्रभावी है।,ఈ చట్టం ఇప్పటికీ అమలులో ఉంది.
এ ক্ষেত্রে আইন প্রযোজ্য নয়।,इस मामले में कानून लागू नहीं होता।,ఈ కేసులో చట్టం వర్తించదు.
১ এপ্রিল থেকে এই আইন কার্যকর হবে।,यह कानून 1 अप्रैल से प्रभावी होगा।,ఈ చట్టం ఏప్రిల్ 1 నుంచి అమల్లోకి రానుంది.
এই আইনটি অস্পষ্টতায় পূর্ণ।,यह कानून अस्पष्टताओं से भरा है।,ఈ చట్టం అస్పష్టతలతో నిండి ఉంది.
আমি এই বিলের বিপক্ষে।,मैं इस विधेयक के खिलाफ हूं।,నేను ఈ బిల్లుకు వ్యతిరేకం.
টেপে সম্প্রচার রেকর্ড করুন।,प्रसारण को टेप पर रिकॉर्ड करें।,ప్రసారాన్ని టేప్‌లో రికార్డ్ చేయండి.
চূড়া মেঘের উপরে ওঠে।,शिखर बादलों से ऊपर उठता है।,శిఖరం మేఘాల పైన పెరుగుతుంది.
রাতে গয়না চুরি হয়েছে।,रात के समय गहना चोरी हो गया।,రాత్రి సమయంలో నగలు చోరీకి గురయ్యాయి.
প্রতিবেদনটি এখনো নিশ্চিত হওয়া যায়নি।,रिपोर्ट की अभी पुष्टि नहीं हुई है।,నివేదిక ఇంకా ధృవీకరించబడలేదు.
প্যাকেজটি গতকাল বিতরণ করা হয়েছে।,पैकेज कल वितरित किया गया था।,ప్యాకేజీ నిన్న డెలివరీ చేయబడింది.
মা বুঝতে পারছিলেন না ছেলেকে নিয়ে কী করবেন।,माँ को समझ नहीं आ रहा था कि वह अपने बेटे के साथ क्या करे।,కొడుకుతో ఏం చేయాలో తల్లికి అర్థం కాలేదు.
আইনজীবীদের ফি অনেক বেশি ছিল।,वकील की फीस बहुत अधिक थी।,న్యాయవాదుల ఫీజులు చాలా ఎక్కువగా ఉండేవి.
"তার দুর্দান্ত ব্যবসায়িক দক্ষতার কারণে, আইনজীবীর প্রচুর সংখ্যক মক্কেল রয়েছে।","अपने महान व्यावसायिक कौशल के कारण, वकील के पास बड़ी संख्या में ग्राहक हैं।","అతని గొప్ప వ్యాపార చతురత కారణంగా, న్యాయవాదికి పెద్ద సంఖ్యలో క్లయింట్లు ఉన్నారు."
আইনজীবী একটানা কথা বলতে থাকেন।,वकील साहब लगातार बोलते रहे।,లాయర్ నిరంతరం మాట్లాడుతూనే ఉన్నాడు.
আমি কি সেই ফ্লাইটে দুটি আসন বুক করতে পারি?,क्या मैं उस उड़ान में दो सीटें बुक कर सकता हूँ?,ఆ విమానంలో నేను రెండు సీట్లు బుక్ చేయవచ్చా?
এই উত্তর আমি চেয়েছিলাম.,यही वह उत्तर था जो मैं चाहता था।,ఇది నేను కోరుకున్న సమాధానం.
সেই পাড়ায় পা রাখবেন না।,उस मोहल्ले में पैर मत रखना.,ఆ పరిసరాల్లోకి అడుగు పెట్టకండి.
আমি এই ধরনের জিনিস সম্পর্কে জানি না.,मैं ऐसी चीजों के बारे में नहीं जानता.,అలాంటి వాటి గురించి నాకు తెలియదు.
আপনি সেখানে কোথাও একটি stapler দেখতে পাচ্ছেন না?,क्या आपको वहां कहीं स्टेपलर नहीं दिख रहा है?,మీకు ఎక్కడో ఒక స్టెప్లర్ కనిపించలేదా?
"চলো, তার জন্য অপেক্ষা করি।","चलो, हम उसका इंतज़ार करते हैं।","రండి, అతని కోసం వేచి చూద్దాం."
এত অদ্ভুত জিনিস কোথায় পেলে?,तुम्हें वह अजीब चीज़ कहां मिली?,ఆ విచిత్రం మీకు ఎక్కడ వచ్చింది?
কুটিরটি পরিষ্কার পরিচ্ছন্ন ছিল।,झोपड़ी साफ और सुव्यवस्थित थी।,కాటేజ్ శుభ్రంగా మరియు చక్కగా ఉంది.
টম আগামীকাল বেড়া রঙ করবে।,टॉम कल बाड़ को रंग देगा।,టామ్ రేపు కంచెని పెయింట్ చేస్తాడు.
প্রাচীরটি আংশিকভাবে আইভি দিয়ে আচ্ছাদিত।,दीवार आंशिक रूप से आइवी से ढकी हुई है।,గోడ పాక్షికంగా ఐవీతో కప్పబడి ఉంటుంది.
দেয়ালটি ত্রিশ গজ লম্বা।,दीवार तीस गज लंबी है।,గోడ ముప్పై గజాల పొడవు ఉంది.
দেয়ালে হেলান দিয়ে বসবেন না।,दीवार से टिककर मत बैठो.,గోడకు ఆనుకుని కూర్చోవద్దు.
দেয়ালে সব জায়গায় কিছু লেখা ছিল।,दीवार पर हर जगह कुछ न कुछ लिखा हुआ था।,గోడ మీద ఎక్కడ చూసినా ఏదో రాసి ఉంది.
এর পৃষ্ঠটা ছিল আয়নার মতো সমতল।,इसकी सतह दर्पण की तरह सपाट थी।,దాని ఉపరితలం అద్దంలా చదునుగా ఉంది.
বেড়া আগামীকাল টম দ্বারা আঁকা হবে.,बाड़ को कल टॉम द्वारा रंगा जाएगा।,రేపు టామ్ ద్వారా ఫెన్స్ పెయింట్ చేయబడుతుంది.
প্রাচীরটি কুকুরদের বাইরে রাখার জন্য যথেষ্ট উঁচু ছিল না।,दीवार इतनी ऊंची नहीं थी कि कुत्तों को बाहर रखा जा सके।,కుక్కలు బయటకు రాకుండా గోడ ఎత్తుగా లేదు.
সৈন্যরা সরকারের প্রতি অসন্তুষ্ট ছিল।,सैनिक सरकार के प्रति असंतुष्ट थे।,ప్రభుత్వంపై సైనికులు అసంతృప్తితో ఉన్నారు.
সৈনিক সাহসিকতার সাথে অভিনয় করেছিল।,सिपाही ने बहादुरी से काम लिया।,సైనికుడు ధైర్యంగా వ్యవహరించాడు.
সৈন্য শত্রুর দিকে তার রাইফেল গুলি করতে অস্বীকার করে।,सैनिक ने दुश्मन पर अपनी राइफल चलाने से इनकार कर दिया।,సైనికుడు తన రైఫిల్‌ను శత్రువుపైకి కాల్చడానికి నిరాకరించాడు.
সৈন্যের পায়ে আঘাত লেগেছে এবং সে নড়াচড়া করতে পারছে না।,सैनिक के पैर में चोट लग गई थी और वह हिल नहीं पा रहा था।,సైనికుడి కాలికి గాయం కావడంతో కదలలేని స్థితిలో ఉన్నాడు.
পায়ে চোট পান ওই সেনা।,सिपाही के पैर में चोट लग गई।,సైనికుడి కాలికి గాయమైంది.
অ্যাকশনে সৈন্য নিহত হয়।,सैनिक कार्रवाई में मारा गया।,ఈ దాడిలో సైనికుడు చనిపోయాడు.
জখম অবস্থায় মাটিতে পড়ে ছিলেন সৈনিক।,सिपाही घायल अवस्था में जमीन पर पड़ा था।,సైనికుడు గాయపడి నేలపై పడి ఉన్నాడు.
সৈনিক তার নাম বলল।,सिपाही ने अपना नाम बताया।,సైనికుడు తన పేరు చెప్పాడు.
সৈনিক তার ক্ষত হালকাভাবে নিল।,सैनिक ने अपने घावों को हल्के में लिया।,సైనికుడు తన గాయాలను తేలికగా తీసుకున్నాడు.
সৈনিক হাঁটতে থাকে যেন তার ক্ষত কিছুই নয়।,सिपाही ऐसे चलता रहा जैसे उसका घाव कुछ भी नहीं था।,సైనికుడు తన గాయం ఏమీ కానట్లుగా నడుచుకుంటూనే ఉన్నాడు.
সৈনিকের মৃত্যু ভয় ছিল না।,सैनिक को मरने का ज़रा भी डर नहीं था।,ఆ సైనికుడికి చావు భయం లేదు.
সৈনিক মরে পড়ে ছিল।,सिपाही मरणासन्न पड़ा था।,సైనికుడు చనిపోతూ పడి ఉన్నాడు.
সৈনিক নিরস্ত্র শত্রুর উপর গুলি চালাতে অস্বীকার করেছিল।,सैनिक ने निहत्थे दुश्मन पर गोली चलाने से इन्कार किया।,నిరాయుధ శత్రువుపై కాల్పులు జరపడానికి సైనికుడు నిరాకరించాడు.
সৈনিক যন্ত্রণায় বিছানায় শুয়ে পড়ল।,सिपाही बिस्तर पर पीड़ा से पड़ा था।,సైనికుడు నొప్పితో మంచం మీద పడి ఉన్నాడు.
পুলিশ আমাকে পানি দিল।,सिपाही ने मुझे पानी दिया.,పోలీసు నాకు నీళ్లు ఇచ్చాడు.
সৈন্যরা বিশ্বাসঘাতক হয়ে গেল।,सैनिक देशद्रोही हो गये।,సైనికులు ద్రోహులుగా మారారు.
"সৈন্যরা সাহসিকতার সাথে যুদ্ধ করেছিল, কিন্তু শেষ পর্যন্ত আত্মসমর্পণ করতে হয়েছিল।","सैनिकों ने बहादुरी से लड़ाई लड़ी, लेकिन अंततः उन्हें हार माननी पड़ी।","సైనికులు ధైర్యంగా పోరాడారు, కానీ చివరికి లొంగిపోవాల్సి వచ్చింది."
সৈন্যরা অস্ত্রে সজ্জিত ছিল।,सैनिक हथियारों से लैस थे।,సైనికులు ఆయుధాలతో ఉన్నారు.
"সৈন্যরা খোলামেলা ছিল, শত্রুর গুলির মুখোমুখি।",सैनिक दुश्मन की गोलीबारी के सामने खुले में थे।,"సైనికులు బహిరంగంగా ఉన్నారు, శత్రువుల కాల్పులను ఎదుర్కొన్నారు."
এই নথিটি সমস্ত বিভাগীয় প্রধানদের কাছে বিতরণ করা হয়েছিল।,यह दस्तावेज़ सभी विभाग प्रमुखों को वितरित किया गया।,ఈ పత్రాన్ని అన్ని శాఖాధిపతులకు పంపిణీ చేశారు.
এই বার্তাগুলি অবশ্যই লাইনের মধ্যে পড়তে হবে।,इन संदेशों को पंक्तियों के बीच पढ़ा जाना चाहिए।,ఈ సందేశాలను పంక్తుల మధ్య చదవాలి.
একটি কাগজের ক্লিপ সহ নথিতে একটি নোট সংযুক্ত ছিল৷,दस्तावेज़ के साथ एक नोट पेपर क्लिप से संलग्न किया गया था।,పేపర్ క్లిప్‌తో పత్రానికి గమనిక జోడించబడింది.
অনুগ্রহ করে নথিটি পর্যালোচনার জন্য প্রশাসনিক অফিসে পাঠান।,कृपया दस्तावेज़ को समीक्षा के लिए प्रशासनिक कार्यालय को भेजें।,దయచేసి సమీక్ష కోసం పత్రాన్ని పరిపాలనా కార్యాలయానికి పంపండి.
এই নথিটি আসল বা জাল নয়।,यह दस्तावेज न तो असली है और न ही जाली है।,ఈ పత్రం అసలైనది లేదా నకిలీ కాదు.
আমরা ধরে নিলাম নথিটি তার ভাইয়ের।,हमने माना कि यह दस्तावेज़ उसके भाई का है।,ఆ పత్రం అతని సోదరుడికి చెందినదని మేము భావించాము.
দলিল শত্রুর হাতে পড়ে গেল।,दस्तावेज़ दुश्मन के हाथों में चला गया।,పత్రం శత్రువు చేతుల్లోకి వచ్చింది.
নথিটি রেকর্ড করে যে যুদ্ধ শুরু হয়েছিল 1700 সালে।,दस्तावेज़ में दर्ज है कि युद्ध 1700 में शुरू हुआ था।,1700లో యుద్ధం ప్రారంభమైందని పత్రం నమోదు చేసింది.
এই শব্দগুচ্ছ মানুষকে অপমান করার উদ্দেশ্যে।,इस वाक्यांश का उद्देश्य लोगों का अपमान करना है।,ఈ పదం ప్రజలను అవమానించడానికి ఉద్దేశించబడింది.
এই বাক্যটি ব্যাকরণগতভাবে সঠিক নয়।,यह वाक्य व्याकरणिक रूप से शुद्ध नहीं है।,ఈ వాక్యం వ్యాకరణపరంగా సరైనది కాదు.
আমি বাক্যটির সঠিক অর্থ বুঝতে সক্ষম নই।,मैं वाक्य का सही अर्थ नहीं समझ पा रहा हूं।,వాక్యం యొక్క ఖచ్చితమైన అర్థాన్ని నేను అర్థం చేసుకోలేకపోతున్నాను.
এই বাক্যের অর্থ অস্পষ্ট।,इस वाक्य का अर्थ अस्पष्ट है।,ఈ వాక్యం యొక్క అర్థం అస్పష్టంగా ఉంది.
এই বাক্যটি ব্যাকরণগত ভুল থেকে মুক্ত।,यह वाक्य व्याकरण संबंधी गलतियों से मुक्त है।,ఈ వాక్యం వ్యాకరణ దోషాల నుండి విముక్తి పొందింది.
আপনার বাক্য থেকে এই শব্দটি বাদ দেওয়া উচিত।,आपको इस शब्द को वाक्य से हटा देना चाहिए।,మీరు వాక్యం నుండి ఈ పదాన్ని తీసివేయాలి.
এই দ্বন্দ্ব মেটানো অসম্ভব।,इस संघर्ष को सुलझाना असंभव है।,ఈ సంఘర్షణను పరిష్కరించడం అసాధ్యం.
"বোয়িং বোঝায় যে অন্যান্য সমস্যা হতে পারে, তবে ক্রুরা সঠিকভাবে তাদের কাজ করলে দুর্ঘটনা এড়ানো যেত।","बोइंग का मतलब यह है कि अन्य समस्याएं भी हो सकती थीं, लेकिन यदि चालक दल ने अपना काम सही ढंग से किया होता तो दुर्घटना टाली जा सकती थी।","బోయింగ్ ఇతర సమస్యలు ఉండవచ్చని సూచిస్తుంది, అయితే సిబ్బంది తమ పనిని సరిగ్గా చేసి ఉంటే ప్రమాదాన్ని నివారించవచ్చు."
আপনি যদি আপনার অংশের সাথে সন্তুষ্ট না হন তবে আমি এটিকে আরও আকর্ষণীয় করে তুলব।,"यदि आप अपने हिस्से से संतुष्ट नहीं हैं, तो मैं इसे थोड़ा और आकर्षक बना दूंगा।","మీరు మీ భాగంతో సంతృప్తి చెందకపోతే, నేను దానిని కొంచెం ఆకర్షణీయంగా చేస్తాను."
পদার্থবিদরা পারমাণবিক ফিউশনের সম্ভাব্য বিপদ সম্পর্কে সচেতন ছিলেন।,भौतिक विज्ञानी नाभिकीय संलयन के संभावित खतरे से अवगत थे।,న్యూక్లియర్ ఫ్యూజన్ యొక్క సంభావ్య ప్రమాదం గురించి భౌతిక శాస్త్రవేత్తలకు తెలుసు.
যথারীতি পদার্থবিদ্যার শিক্ষক ক্লাসে দেরি করে আসেন।,"हमेशा की तरह, भौतिकी के अध्यापक कक्षा में देर से आये।",ఎప్పటిలాగే ఫిజిక్స్ టీచర్ క్లాసుకి ఆలస్యంగా వచ్చారు.
বস্তুটি আলোর ঝলক রেখে দক্ষিণে উড়ে গেল।,वह वस्तु प्रकाश की चमक छोड़ती हुई दक्षिण की ओर उड़ गई।,"ఆ వస్తువు దక్షిణం వైపుకు వెళ్లింది, కాంతిని వదిలివేసింది."
বস্তুর পৃষ্ঠটি বেশ রুক্ষ।,वस्तु की सतह काफी खुरदरी है।,వస్తువు యొక్క ఉపరితలం చాలా కఠినమైనది.
আপনি আইটেম বর্ণনা করতে পারেন?,क्या आप वस्तु का वर्णन कर सकते हैं?,మీరు అంశాన్ని వివరించగలరా?
এই পদার্থটি এতই হালকা যে এটি পানির উপর ভাসতে পারে।,यह पदार्थ इतना हल्का है कि पानी पर तैर सकता है।,"ఈ పదార్ధం చాలా తేలికగా ఉంటుంది, ఇది నీటిపై తేలుతుంది."
উপাদান অ্যাসিড সঙ্গে চিকিত্সা করা আবশ্যক.,पदार्थ का अम्ल से उपचार किया जाना चाहिए।,పదార్థాన్ని యాసిడ్‌తో చికిత్స చేయాలి.
এই গল্পটা একবার শুনেছিলাম মনে আছে।,मुझे याद है कि मैंने एक बार यह कहानी सुनी थी।,ఈ కథ ఒకసారి విన్నాను.
গল্পটা হঠাৎ করেই শেষ হয়ে গেল।,कहानी अचानक समाप्त हो गई।,కథ హఠాత్తుగా ముగిసింది.
এই গল্পটি ঐতিহাসিক সত্যের কাছাকাছি।,यह कहानी ऐतिहासिक सत्य के करीब है।,ఈ కథ చారిత్రక సత్యానికి దగ్గరగా ఉంటుంది.
গল্পটি একই সাথে আকর্ষণীয় এবং শিক্ষণীয়।,कहानी एक साथ दिलचस्प और शिक्षाप्रद है।,కథ ఏకకాలంలో ఆసక్తికరంగా మరియు బోధనాత్మకంగా ఉంటుంది.
গল্প শেষ হয় তার মৃত্যুর মধ্য দিয়ে।,कहानी उसकी मृत्यु के साथ ख़त्म होती है।,అతని మరణంతో కథ ముగుస్తుంది.
গল্পটি একটি রহস্যময় অ্যাডভেঞ্চারকে কেন্দ্র করে আবর্তিত হয়েছে।,कहानी एक रहस्यमय साहसिक घटना के इर्द-गिर्द घूमती है।,కథ ఒక రహస్యమైన సాహసం చుట్టూ తిరుగుతుంది.
গল্পটি সত্য ঘটনা অবলম্বনে।,कहानी तथ्य पर आधारित है.,కథ వాస్తవం ఆధారంగా ఉంటుంది.
গল্পটি একটি সুখী সমাপ্তি দিয়ে শেষ হয়।,कहानी सुखद अंत के साथ समाप्त होती है।,కథ సుఖాంతంతో ముగుస్తుంది.
সেই গল্প কতদিনের?,वह कहानी कितनी लम्बी है?,ఆ కథ ఎంత నిడివి?
গল্পের শুরুটা ছিল মজার।,कहानी की शुरुआत दिलचस्प थी।,కథ ప్రారంభం ఆసక్తికరంగా సాగింది.
আওয়াজ শুনে আমার ভাই কাঁদতে লাগলো।,शोर सुनकर मेरा भाई रोने लगा।,ఆ శబ్దం విని తమ్ముడు ఏడవడం మొదలుపెట్టాడు.
আওয়াজ আমার ঘুম ভাঙ্গল।,शोर से मेरी नींद खुल गयी।,శబ్దం నన్ను నిద్రలేపింది.
শব্দে শিশুর ঘুম ভেঙে যাবে।,शोर से बच्चा जाग जाएगा।,శబ్దం శిశువును మేల్కొంటుంది.
কীভাবে এই জিনিসটি তৈরি হয়েছে তা কেউ ব্যাখ্যা করতে পারেনি।,कोई भी यह नहीं बता सका कि यह चीज़ कैसे बनी।,ఈ విషయం ఎలా తయారు చేయబడిందో ఎవరూ వివరించలేరు.
বন্দী দুই মাস কারাগারের আড়ালে ছিলেন।,कैदी दो महीने तक सलाखों के पीछे रहा।,ఖైదీ రెండు నెలల పాటు కటకటాల వెనుక ఉన్నాడు.
কেন আপনি এটি কেনার আগে পোশাক চেষ্টা করে দেখুন না?,आपने ड्रेस खरीदने से पहले उसे पहनकर क्यों नहीं देखा?,మీరు దుస్తులను కొనడానికి ముందు ఎందుకు ప్రయత్నించలేదు?
আপনি কি খামের উপর একটি স্ট্যাম্প লাগিয়েছেন?,क्या आपने लिफाफे पर टिकट लगाया?,మీరు కవరుపై స్టాంప్ పెట్టారా?
সেই বাতাস আমাদের শেষ মোমবাতিটাও নিভিয়ে দিল।,उस हवा ने हमारी आखिरी मोमबत्ती भी बुझा दी।,ఆ గాలి మా చివరి కొవ్వొత్తిని కూడా ఆర్పివేసింది.
সেই উপজাতি তার পূর্বপুরুষদের পূজা করে।,वह जनजाति अपने पूर्वजों की पूजा करती है।,ఆ తెగవారు తమ పూర్వీకులను పూజిస్తారు.
রুম পরিষ্কার করতে আমার তিন দিন লেগেছে।,कमरा साफ़ करने में मुझे तीन दिन लगे।,గది శుభ్రం చేయడానికి నాకు మూడు రోజులు పట్టింది.
সেখানে কি মিটিং রুম পাওয়া যাবে?,क्या बैठक के लिए कमरा उपलब्ध होगा?,సమావేశ గది ​​అందుబాటులో ఉంటుందా?
রুমটা ভালো করে পরিষ্কার করবো।,मैं कमरे की अच्छी सफाई कर दूंगा।,నేను గదిని పూర్తిగా శుభ్రం చేస్తాను.
ঘরে কি শীতাতপ নিয়ন্ত্রণ ব্যবস্থা আছে?,क्या कमरे में एयर कंडीशनिंग है?,గదిలో ఎయిర్ కండిషనింగ్ ఉందా?
