bn,hi,te,emotion_bn,emotion_hi,emotion_te,semantic_bn_hi,semantic_bn_te,semantic_hi_te
কঠোর পরিশ্রম না করলে সফলতা আসবে না।,"जब तक आप कड़ी मेहनत नहीं करेंगे, तब तक आप सफल नहीं होंगे।",కష్టపడి పని చేస్తే తప్ప విజయం సాధించలేరు.,1,1,1,0.8556084036827087,0.8724682927131653,0.8604151010513306
এত পরিশ্রমের পরও নিশ্চয়ই ক্লান্ত।,इतनी मेहनत के बाद वह थक गया होगा।,అతను చాలా కష్టపడి అలసిపోయి ఉండాలి.,1,1,1,0.8243072032928467,0.7371325492858887,0.778302788734436
কঠোর পরিশ্রম করেও তিনি গরীব থেকে গেছেন।,वह कड़ी मेहनत करने के बावजूद गरीब ही रहा।,కష్టపడి పనిచేసినా పేదవాడుగానే ఉన్నాడు.,1,1,1,0.9247946739196777,0.8924983143806458,0.870026171207428
তিনি কঠোর পরিশ্রম করেছেন।,उसने कड़ी मेहनत की है।,అతను కష్టపడి పనిచేశాడు.,0,0,0,0.9687964916229248,0.9041406512260437,0.8854317665100098
আমি যত দ্রুত পারলাম দৌড়ে গেলাম।,"मैं जितनी तेजी से भाग सकता था, भागा।",నేను వీలైనంత వేగంగా పరిగెత్తాను.,3,1,0,0.9254925847053528,0.8959488868713379,0.886409342288971
কঠোর পরিশ্রম করলে সে সফল হবে।,अगर वह कड़ी मेहनत करेगा तो सफल होगा।,కష్టపడి పనిచేస్తే విజయం సాధిస్తాడు.,0,0,0,0.9573845863342285,0.9355822801589966,0.9026941061019897
পরিশ্রম না করলে সামনে এগুতে পারবেন না।,यदि आप कड़ी मेहनत नहीं करेंगे तो आप आगे नहीं बढ़ सकते।,కష్టపడకపోతే ముందుకు సాగలేరు.,1,1,1,0.9202926754951477,0.8861008882522583,0.8579248785972595
কঠোর পরিশ্রম করলে সে সফল হবে।,अगर वह कड़ी मेहनत करे तो सफल हो जायेगा।,కష్టపడితే విజయం సాధిస్తాడు.,0,0,0,0.9611183404922485,0.9053723812103271,0.8502541184425354
কঠোর পরিশ্রম এবং নিষ্ঠা আপনাকে সাফল্য এনে দেবে।,कड़ी मेहनत और समर्पण आपको सफलता दिलाएगा।,కృషి మరియు అంకితభావం మీకు విజయాన్ని అందిస్తాయి.,0,0,0,0.9566782116889954,0.9154914617538452,0.9490716457366943
এটি আমার জীবনের সবচেয়ে বিব্রতকর মুহূর্ত।,यह मेरे जीवन का सबसे शर्मनाक क्षण है।,ఇది నా జీవితంలో అత్యంత ఇబ్బందికరమైన క్షణం.,3,2,3,0.9631024599075317,0.9829202890396118,0.9528338313102722
মাত্র দেড় শতাব্দীর বিভ্রান্তির পরে রাজকীয় ক্ষমতা পুনরুদ্ধার করা হয়েছিল।,डेढ़ शताब्दी के असमंजस के बाद ही शाही सत्ता बहाल हुई।,ఒక శతాబ్దం మరియు సగం గందరగోళం తర్వాత మాత్రమే రాజ అధికారం పునరుద్ధరించబడింది.,1,1,1,0.953220546245575,0.9337116479873657,0.9137709140777588
একা থাকতে শুরু করলাম।,मैंने अकेले रहना शुरू कर दिया।,నేను ఒంటరిగా జీవించడం మొదలుపెట్టాను.,1,1,1,0.9838449954986572,0.9454224109649658,0.972976565361023
তাকে একা রেখে শিশুটি কাঁদতে থাকে।,अकेला छोड़ दिए जाने पर बच्चा रोने लगा।,పిల్లాడు ఒంటరిగా ఉండడంతో ఏడవడం ప్రారంభించాడు.,1,1,3,0.8645211458206177,0.838327169418335,0.9041675329208374
আমি একা থাকতে ঘৃণা করি।,मुझे अकेले रहना नापसंद है.,నేను ఒంటరిగా ఉండటాన్ని ద్వేషిస్తున్నాను.,1,1,3,0.9415371417999268,0.9635156393051147,0.9245573282241821
এক বৃদ্ধ একটা গাছের নিচে বিশ্রাম নিচ্ছিলেন।,एक बूढ़ा आदमी पेड़ के नीचे आराम कर रहा था।,ఒక చెట్టు కింద ఒక వృద్ధుడు విశ్రాంతి తీసుకుంటున్నాడు.,3,1,3,0.9615404605865479,0.9508047103881836,0.9381044507026672
একজন বৃদ্ধ এল।,एक बूढ़ा आदमी आया.,ఒక పెద్దాయన వచ్చాడు.,3,0,0,0.9434483051300049,0.9150683879852295,0.839309573173523
একজন লোক তাকে ধরে ফেলে।,एक आदमी ने उसे पकड़ लिया।,ఒక వ్యక్తి అతన్ని పట్టుకున్నాడు.,3,3,3,0.9694666266441345,0.9699066877365112,0.9772160649299622
একজন লোক আমার কাছে এসে ম্যাচ চাইল।,एक आदमी मेरे पास आया और माचिस मांगने लगा।,ఒక వ్యక్తి నా దగ్గరకు వచ్చి మ్యాచ్‌లు అడిగాడు.,0,3,0,0.8421366214752197,0.9558817148208618,0.8605759143829346
ঘটনাস্থলে উপস্থিত হন এক ব্যক্তি।,एक आदमी मौके पर आया।,సంఘటనా స్థలానికి ఒక వ్యక్తి వచ్చాడు.,3,3,3,0.8978931903839111,0.912470817565918,0.9211831092834473
ভিড় থেকে একটি মেয়ে রাজার কাছে এলো।,भीड़ में से एक लड़की राजा के पास आयी।,గుంపులోంచి ఒక అమ్మాయి రాజు దగ్గరకు వచ్చింది.,3,3,3,0.9518202543258667,0.9482394456863403,0.942048192024231
একটা ছেলে রাস্তা পার হচ্ছে।,एक लड़का सड़क पार कर रहा है।,ఒక అబ్బాయి రోడ్డు దాటుతున్నాడు.,0,3,3,0.9657464027404785,0.9749685525894165,0.9826216697692871
গাছের আড়াল থেকে একজন মহিলা হাজির।,एक औरत पेड़ के पीछे से प्रकट हुई।,చెట్టు వెనుక నుండి ఒక స్త్రీ కనిపించింది.,3,3,3,0.939211368560791,0.9327441453933716,0.9589793682098389
তার এক সহকর্মী ফিসফিস করে বলল।,उनके एक सहकर्मी ने फुसफुसाकर कहा।,అతని సహోద్యోగుల్లో ఒకరు గుసగుసలాడారు.,0,0,3,0.9443668127059937,0.807489275932312,0.8497904539108276
আমাকে একা ছেড়ে দিন।,मुझे अकेला छोड़ दो.,నన్ను ఒంటరిగా వదిలేయండి.,1,1,1,0.9885135889053345,0.9822537899017334,0.9862672090530396
আমি একা ভ্রমণ করতে পছন্দ করি।,मुझे अकेले यात्रा करना पसंद है।,నాకు ఒంటరిగా ప్రయాణించడం ఇష్టం.,0,0,0,0.9919748902320862,0.9755207300186157,0.9790443181991577
একা থাকতে অভ্যস্ত হয়ে গেছি।,मैं अकेले रहने का आदी हो गया हूं।,ఒంటరిగా ఉండడం నాకు అలవాటైపోయింది.,1,1,1,0.9731817841529846,0.9715060591697693,0.9552687406539917
মেট্রোতে একা ভ্রমণ করা কি বিপজ্জনক?,क्या अकेले मेट्रो में सफर करना खतरनाक है?,మెట్రోలో ఒంటరిగా ప్రయాణించడం ప్రమాదమా?,3,3,3,0.949664294719696,0.9616985321044922,0.9565191864967346
আমাকে একা যেতে দাও।,मुझे अकेले जाने दो.,నన్ను ఒంటరిగా వెళ్ళనివ్వండి.,1,1,3,0.9823615550994873,0.9806573390960693,0.9807944297790527
আমি একা যেতে চাই না।,मैं अकेले नहीं जाना चाहता.,నాకు ఒంటరిగా వెళ్లాలని లేదు.,1,1,3,0.9913167953491211,0.9790611267089844,0.9775564670562744
তিনি তাকে একা যেতে দিলেন।,उसने उसे अकेले जाने की अनुमति दे दी।,ఆమెను ఒంటరిగా వెళ్లేందుకు అనుమతించాడు.,1,1,3,0.9323412179946899,0.879944920539856,0.9548826217651367
আপনি নিজেই এই ডেস্ক সরাতে পারেন?,क्या आप इस डेस्क को स्वयं स्थानांतरित कर सकते हैं?,ఈ డెస్క్‌ను మీరే తరలించగలరా?,2,2,2,0.9127029180526733,0.9126529693603516,0.9621237516403198
আপনি কি এখানে একা এসেছেন?,क्या आप यहाँ अकेले आये हैं?,ఇక్కడికి ఒంటరిగా వచ్చావా?,1,1,3,0.9935202598571777,0.9823698997497559,0.9814388155937195
প্রবেশমূল্য জনপ্রতি দশ ডলার।,प्रवेश शुल्क प्रति व्यक्ति दस डॉलर है।,ప్రవేశ రుసుము ఒక్కొక్కరికి పది డాలర్లు.,0,3,0,0.9270259141921997,0.9355225563049316,0.9430411458015442
একবার খাবার এড়িয়ে গেলে আপনার ক্ষতি হবে না।,एक बार भोजन छोड़ देने से आपको कोई नुकसान नहीं होगा।,ఒక్కసారి భోజనం మానేయడం వల్ల మీకు హాని కలగదు.,1,0,1,0.950495719909668,0.9323762655258179,0.9201539754867554
আমাকে তোমার সাথে নিয়ে যাও,मुझे अपने साथ ले लो।,నన్ను నీతో తీసుకెళ్లు.,2,1,2,0.9253040552139282,0.9478433728218079,0.9672600626945496
তুমি কি আমার সাথে আসবে না?,क्या तुम मेरे साथ नहीं आओगे?,నువ్వు నాతో రాలేదా?,1,2,1,0.9924350380897522,0.9694341421127319,0.9576157331466675
তুমি কি আমার সাথে আসবে?,क्या तुम मेरे साथ आओगे?,నాతో వస్తావా?,3,3,0,0.9937724471092224,0.9670169353485107,0.9656592607498169
আমি দুঃখিত আপনি আমাদের সাথে আসেননি.,मुझे खेद है कि आप हमारे साथ नहीं आये।,మీరు మాతో రానందుకు క్షమించండి.,1,1,1,0.9873736500740051,0.9389931559562683,0.9303603172302246
তুমি কি আমার সাথে খেলবে?,क्या तुम मेरे साथ खेलोगे?,నాతో ఆడుకుంటావా?,0,2,2,0.992519736289978,0.9625709056854248,0.9714871644973755
আমার সাথে কেনাকাটা করতে যাবে না?,क्या तुम मेरे साथ खरीदारी करने नहीं चलोगे?,మీరు నాతో షాపింగ్ చేయలేదా?,3,2,2,0.9037066102027893,0.9588196277618408,0.9267233610153198
"একসাথে কাজ করে, তারা কিছুক্ষণের মধ্যেই পুরো ঘর পরিষ্কার করে ফেলে।","एक साथ मिलकर काम करते हुए, उन्होंने कुछ ही समय में पूरा घर साफ़ कर दिया।",అందరం కలిసి పనిచేసి కొద్దిసేపటికే ఇంటిని శుభ్రం చేశారు.,0,0,0,0.9522677659988403,0.8666626214981079,0.8829182386398315
আমার সাথে মাছ ধরতে যাওয়া সম্পর্কে আপনি কি বলেন?,मेरे साथ मछली पकड़ने जाने के बारे में आप क्या कहते हैं?,నాతో చేపలు పట్టడం గురించి మీరు ఏమి చెబుతారు?,2,2,2,0.9814470410346985,0.9707704782485962,0.9655919075012207
আমি কি তোমার সাথে দৌড়াতে পারি?,क्या मैं आपके साथ दौड़ सकता हूँ?,నేను మీతో పరుగెత్తవచ్చా?,2,0,3,0.9907602071762085,0.967226505279541,0.9609915018081665
আমার সাথে বাইরে খাওয়া কেমন হবে?,मेरे साथ बाहर खाना खाने के बारे में क्या ख्याल है?,నాతో కలిసి భోజనం చేయడం ఎలా?,3,3,0,0.850346565246582,0.8863458037376404,0.7725511789321899
আমি আপনার সাথে যেতে চাই.,मुझे तुम्हारे साथ जाना है।,నేను మీతో వెళ్లాలనుకుంటున్నాను.,0,2,1,0.925661563873291,0.9799493551254272,0.8929479122161865
আপনি কি সঙ্গে আসতে চান?,क्या आप साथ आना चाहते हैं?,మీరు వెంట రావాలనుకుంటున్నారా?,0,0,0,0.927859902381897,0.8831312656402588,0.9443252682685852
আসুন একসাথে আমাদের যথাসাধ্য চেষ্টা করি।,आइये हम मिलकर अपना सर्वश्रेष्ठ प्रयास करें।,మనం కలిసి మన వంతు ప్రయత్నం చేద్దాం.,0,0,0,0.9263842105865479,0.9351351261138916,0.9295589327812195
আসুন একসাথে কিছু ইংরেজি গান গাই।,चलो मिलकर कुछ अंग्रेजी गाने गाते हैं।,ఇద్దరం కలిసి కొన్ని ఇంగ్లీషు పాటలు పాడుకుందాం.,0,0,0,0.9819652438163757,0.9557926654815674,0.9510793089866638
আপনি কি আমাদের সাঁতারে যোগ দেবেন?,क्या आप हमारे साथ तैराकी में शामिल होंगे?,మీరు మాతో ఈత కొడతారా?,2,0,2,0.9465198516845703,0.9262322187423706,0.9248412251472473
আপনি কি আমার সাথে সিনেমা দেখতে চান?,क्या आप मेरे साथ फिल्म देखने चलना चाहेंगे?,మీరు నాతో సినిమాలకు వెళ్లాలనుకుంటున్నారా?,0,0,0,0.949820876121521,0.9499999284744263,0.9499730467796326
আপনি কি আমার সাথে পান করতে যাবেন?,क्या आप मेरे साथ ड्रिंक के लिए चलेंगे?,నాతో డ్రింక్ కి వెళ్తావా?,0,0,0,0.9555845260620117,0.9549331665039062,0.9694225192070007
আমি তোমার সাথে আসছি।,मैं तुम्हारे साथ आ रहा हूं.,నేను మీతో వస్తున్నాను.,0,0,0,0.9830009937286377,0.9792722463607788,0.9880157113075256
আমাদের একসাথে যেতে হবে?,क्या हम साथ-साथ चलें?,మనం కలిసి వెళ్ళాలా?,0,0,0,0.9480966329574585,0.9602329134941101,0.9697258472442627
আমি এক সপ্তাহ হাসপাতালে ছিলাম।,मैं एक सप्ताह तक अस्पताल में था।,నేను ఒక వారం పాటు ఆసుపత్రిలో ఉన్నాను.,1,1,1,0.9803583025932312,0.950451135635376,0.9599238038063049
আমরা এক সপ্তাহ থাকার পরিকল্পনা করছি।,हमारी योजना एक सप्ताह रुकने की है।,మేము ఒక వారం పాటు ఉండాలని ప్లాన్ చేస్తున్నాము.,0,1,0,0.9414706826210022,0.976481556892395,0.927228569984436
আমি এক সপ্তাহের মধ্যে আপনাকে সিডিটি ফেরত দেব।,मैं एक सप्ताह में तुम्हें सीडी वापस कर दूंगा।,నేను ఒక వారంలో సీడీని మీకు తిరిగి ఇస్తాను.,2,2,2,0.9570846557617188,0.9240942001342773,0.9206071496009827
এক সপ্তাহ বাড়িতে ছিলাম।,मैं एक सप्ताह तक घर पर रहा।,వారం రోజులు ఇంట్లోనే ఉన్నాను.,1,1,1,0.952010989189148,0.8931785821914673,0.9079118967056274
এক সপ্তাহ ধরে বৃষ্টি হয়েছে।,एक सप्ताह तक बारिश होती रही।,వారం రోజుల పాటు వర్షం కురిసింది.,0,0,0,0.9680973291397095,0.9141379594802856,0.9092991948127747
আমরা এক সপ্তাহের মধ্যে ডেলিভারি করতে সক্ষম।,हम एक सप्ताह के भीतर डिलीवरी करने में सक्षम हैं।,మేము ఒక వారంలో డెలివరీ చేయగలుగుతున్నాము.,0,0,0,0.9617935419082642,0.9504327178001404,0.9339872598648071
আমি এক সপ্তাহ বা তার কম সময়ের মধ্যে শেষ করব।,मैं एक सप्ताह या उससे कम समय में काम ख़त्म कर लूंगा।,నేను ఒక వారం లేదా అంతకంటే తక్కువ సమయంలో పూర్తి చేస్తాను.,0,1,0,0.9384252429008484,0.9628957509994507,0.9188153743743896
আমি এক সপ্তাহ না খেয়েই চলে গেলাম।,मैं एक सप्ताह तक बिना भोजन के रहा।,ఒక వారం తిండి లేకుండా పోయాను.,1,1,1,0.8808549046516418,0.8917516469955444,0.9014050960540771
সপ্তাহে সাত দিন আছে।,सप्ताह में सात दिन होते हैं।,వారంలో ఏడు రోజులు ఉన్నాయి.,0,0,1,0.9663532972335815,0.9796791076660156,0.9667642116546631
এক সপ্তাহের ছুটি নিয়েছেন।,उन्होंने एक सप्ताह की छुट्टी ली।,వారం రోజులు సెలవు తీసుకున్నాడు.,0,0,2,0.9400002956390381,0.9112594127655029,0.884360671043396
আমাদের সপ্তাহে পাঁচটি ইংরেজি ক্লাস আছে।,हमारे यहां सप्ताह में पांच अंग्रेजी कक्षाएं होती हैं।,మాకు వారానికి ఐదు ఆంగ్ల తరగతులు ఉన్నాయి.,0,0,0,0.972207248210907,0.9856920838356018,0.970268726348877
সারা সপ্তাহ আবহাওয়া ভালো ছিল।,पूरे सप्ताह मौसम अच्छा रहा।,వారంతా వాతావరణం బాగానే ఉంది.,0,0,0,0.9890233278274536,0.7621303796768188,0.7373579740524292
আমি গত সপ্তাহ থেকে ফ্লুতে ভুগছি।,मैं पिछले सप्ताह से फ्लू से पीड़ित हूँ।,గత వారం రోజులుగా ఫ్లూతో బాధపడుతున్నాను.,1,1,1,0.929842472076416,0.9128995537757874,0.91801917552948
"ঘণ্টাখানেক অপেক্ষা করলাম, কিন্তু তিনি এলেন না।","मैंने एक घंटे तक इंतजार किया, लेकिन वह नहीं आया।","నేను గంటసేపు వేచి ఉన్నాను, కానీ అతను రాలేదు.",3,1,3,0.9646577835083008,0.9700366854667664,0.9739042520523071
আমি তার সাথে এক ঘন্টা আগে দেখা করেছি।,मैं उससे एक घंटा पहले मिला था।,నేను ఒక గంట క్రితం అతనిని కలిశాను.,0,0,0,0.9476228356361389,0.9663110375404358,0.9460614919662476
এক ঘণ্টা আগে তুষারপাত বন্ধ হয়ে গেছে।,एक घंटे पहले बर्फबारी बंद हो गई।,గంట క్రితం మంచు ఆగిపోయింది.,3,0,1,0.9743648171424866,0.9449597597122192,0.9482542276382446
আমি এক ঘন্টারও বেশি সময় ধরে তোমার জন্য অপেক্ষা করছি।,मैं एक घंटे से अधिक समय से तुम्हारा इंतज़ार कर रहा हूँ।,నేను మీ కోసం గంటకు పైగా వేచి ఉన్నాను.,3,0,0,0.9816477298736572,0.9530022740364075,0.9482935667037964
আমি এক ঘন্টার মধ্যে ফিরে আসব.,मैं एक घंटे के भीतर वापस आ जाऊंगा.,నేను గంటలోపు తిరిగి వస్తాను.,0,0,3,0.986257791519165,0.9643041491508484,0.9483752846717834
দশটা থেকে এক ঘণ্টার মধ্যে পরিষ্কার হয়ে যাবে।,दस से एक बजे तक यह लगभग एक घंटे में साफ हो जाएगा।,పది నుంచి ఒకటి వరకు దాదాపు గంటలో తేలిపోతుంది.,3,0,3,0.871161699295044,0.8484810590744019,0.8282256126403809
আপনি কি আমাকে এক ঘন্টার জন্য আপনার সাইকেল ধার দেবেন?,क्या आप मुझे एक घंटे के लिए अपनी साइकिल उधार देंगे?,మీ సైకిల్ నాకు ఒక గంట అప్పుగా ఇస్తావా?,2,0,0,0.9796812534332275,0.9533751010894775,0.9584206938743591
"এক সময় আমরা শত্রু ছিলাম, কিন্তু এখন আমরা আমাদের ভেদাভেদ ভুলে গেছি এবং এখন আমাদের একে অপরের সাথে বন্ধুত্বপূর্ণ সম্পর্ক রয়েছে।","एक समय हम दुश्मन थे, लेकिन अब हमने आपसी मतभेद भुला दिए हैं और अब हम एक-दूसरे के साथ मित्रवत संबंध रखते हैं।",ఒకప్పుడు మనం శత్రువులమే కానీ ఇప్పుడు మన మధ్య విభేదాలు మరిచిపోయి ఒకరితో ఒకరు స్నేహపూర్వకంగా మెలగుతున్నారు.,0,0,0,0.9774678945541382,0.9389033317565918,0.9422171115875244
পরশু নারিতা পৌছালাম।,मैं परसों नारिता पहुंचा।,నేను నిన్నగాక మొన్న నారిటా చేరుకున్నాను.,0,0,0,0.8121602535247803,0.7245005369186401,0.8949558734893799
পরশু তোমার চিঠি পেয়েছি।,मुझे परसों आपका पत्र मिला।,నిన్నగాక మొన్న నీ ఉత్తరం వచ్చింది.,0,0,0,0.9472205638885498,0.8557785749435425,0.8487809896469116
পরশু তিনি সেখান থেকে চলে যান।,वे परसों वहां से चले गये।,నిన్నగాక మొన్న అక్కడి నుంచి వెళ్లిపోయాడు.,1,1,1,0.8409945964813232,0.8491885662078857,0.8065869808197021
"একটি দেশের অর্থনৈতিক শক্তি শুধুমাত্র তার উৎপাদন ক্ষমতার মধ্যেই নয়, বরং এর ব্যবহার করার ক্ষমতার মধ্যেও রয়েছে।","किसी देश की आर्थिक ताकत केवल उत्पादन करने की क्षमता में ही नहीं, बल्कि उपभोग करने की क्षमता में भी निहित होती है।",ఒక దేశం యొక్క ఆర్థిక బలం దాని ఉత్పత్తి సామర్థ్యంలో మాత్రమే కాకుండా వినియోగించే సామర్థ్యంలో కూడా ఉంది.,2,0,0,0.9441008567810059,0.9691277742385864,0.9651324152946472
নাবিকরা নিরাপদে ফিরে আসেন।,दल सुरक्षित और स्वस्थ वापस लौट आया।,సిబ్బంది క్షేమంగా తిరిగి వచ్చారు.,0,0,0,0.6863442659378052,0.8363444209098816,0.7577497363090515
খারাপ আবহাওয়া সত্ত্বেও পার্টি যাত্রা শুরু করে।,ख़राब मौसम के बावजूद पार्टी निकल पड़ी।,ప్రతికూల వాతావరణం ఉన్నప్పటికీ పార్టీ బయలుదేరింది.,0,0,1,0.9186599850654602,0.902739405632019,0.9426858425140381
দলটির নেতা খ্যাতিমান বিজ্ঞানী ড.,पार्टी का नेता एक प्रसिद्ध वैज्ञानिक है।,పార్టీ నాయకుడు ప్రఖ్యాత శాస్త్రవేత్త.,0,0,0,0.8507247567176819,0.8860481381416321,0.9426730871200562
প্রতি দ্বিতীয় লাইনে লিখুন।,हर दूसरी पंक्ति पर लिखें.,ప్రతి రెండవ పంక్తిలో వ్రాయండి.,0,0,0,0.932159960269928,0.9520320892333984,0.9597504138946533
আমি কিছু খেতে পারি?,क्या मैं कुछ खा सकता हूँ?,నేను ఏదైనా తినవచ్చా?,1,1,1,0.9928028583526611,0.9862120747566223,0.9804173707962036
সে একটা কথাও বলল না।,उसने एक शब्द भी नहीं कहा.,అతను ఒక్క మాట కూడా మాట్లాడలేదు.,2,2,1,0.9552714228630066,0.9574306011199951,0.965377151966095
জানুয়ারি বছরের প্রথম মাস।,जनवरी वर्ष का पहला महीना है।,జనవరి సంవత్సరం మొదటి నెల.,0,0,0,0.9379831552505493,0.985258936882019,0.9322739839553833
জানুয়ারিতে এখানে তুষারপাত হয়।,जनवरी में हमारे यहां बर्फ पड़ती है।,ఇక్కడ జనవరిలో మంచు కురుస్తుంది.,3,3,3,0.9169958829879761,0.9632821083068848,0.9269324541091919
আমি জানুয়ারিতে পরীক্ষা দিচ্ছি।,मैं जनवरी में परीक्षा दे रहा हूँ।,నేను జనవరిలో పరీక్ష రాస్తున్నాను.,0,0,0,0.9739917516708374,0.9599266648292542,0.9605958461761475
দয়া করে একটি গান গাও।,कृपया एक गाना गाओ.,దయచేసి ఒక పాట పాడండి.,0,0,0,0.991998553276062,0.9866347908973694,0.9881056547164917
আমি একটা গান গাইতে চাই।,मैं एक गाना गाना चाहता हूँ.,నాకు ఒక పాట పాడాలని ఉంది.,0,0,0,0.9695066213607788,0.9568604826927185,0.9309595823287964
চলুন ঠান্ডা করা যাক,चलो आराम करें.,చిల్ చేద్దాం.,3,2,0,0.691910982131958,0.6138358116149902,0.5988093614578247
একটু বিশ্রাম নিলে কেমন হয়?,आराम करने के बारे में क्या ख्याल है?,కాస్త విశ్రాంతి తీసుకోవడం ఎలా?,3,3,1,0.8095995187759399,0.9467130303382874,0.7760217785835266
যুদ্ধের পরে পরিবারটি কঠিন সময়ের মুখোমুখি হয়েছিল।,युद्ध के बाद परिवार को कठिन समय का सामना करना पड़ा।,యుద్ధం తర్వాత కుటుంబం కష్ట సమయాలను ఎదుర్కొంది.,1,1,1,0.9850857853889465,0.9815583229064941,0.982589602470398
টম ছাড়া পুরো পরিবার চুপচাপ টিভি দেখছিল।,टॉम को छोड़कर पूरा परिवार चुपचाप टीवी देख रहा था।,టామ్ తప్ప కుటుంబమంతా నిశ్శబ్దంగా టీవీ చూస్తున్నారు.,3,3,3,0.9587498307228088,0.9373342990875244,0.9584850072860718
পরিবারটি 1830 সালের দিকে তাদের আদি জার্মানি থেকে শিকাগোতে চলে আসে।,वर्ष 1830 के आसपास यह परिवार अपने मूल जर्मनी से शिकागो चला गया।,కుటుంబం 1830 సంవత్సరంలో వారి స్థానిక జర్మనీ నుండి చికాగోకు తరలివెళ్లింది.,1,0,1,0.9516430497169495,0.9320472478866577,0.9362585544586182
আমি রোমান্টিক অ্যাডভেঞ্চারের গ্রীষ্মের জন্য দক্ষিণ প্রশান্ত মহাসাগরে গিয়েছিলাম।,मैं रोमांटिक रोमांच की एक गर्मियों के लिए दक्षिण प्रशांत महासागर में गया था।,నేను రొమాంటిక్ అడ్వెంచర్ వేసవి కోసం దక్షిణ పసిఫిక్ మహాసముద్రానికి వెళ్ళాను.,0,0,0,0.9287478923797607,0.9205383658409119,0.9077792167663574
একজন বুদ্ধিমান ব্যক্তি মাত্র কয়েকটি সূত্র থেকে পুরো পরিস্থিতি বের করতে পারেন। আমি চাই তুমি এমন একজন মানুষ হও।,एक समझदार व्यक्ति कुछ संकेतों से ही पूरी स्थिति का पता लगा सकता है। मैं चाहता हूँ कि आप भी ऐसे ही व्यक्ति बनें।,ఒక తెలివైన వ్యక్తి కేవలం కొన్ని ఆధారాల నుండి మొత్తం పరిస్థితిని గుర్తించగలడు. మీరు అలాంటి వ్యక్తి కావాలని నేను కోరుకుంటున్నాను.,0,0,0,0.8828678131103516,0.9100017547607422,0.9003140926361084
একজন জ্ঞানী মানুষের জন্য একটি কথাই যথেষ্ট।,एक बुद्धिमान व्यक्ति के लिए एक शब्द ही पर्याप्त है।,తెలివైన వ్యక్తికి ఒక్క మాట సరిపోతుంది.,0,0,0,0.9243204593658447,0.9186009168624878,0.9458826184272766
আমি বোকা বানানো পছন্দ করি না।,मुझे मूर्ख बनाया जाना पसंद नहीं है।,నేను ఫూల్‌గా చేయడం నాకు ఇష్టం లేదు.,2,2,1,0.96012943983078,0.8634811639785767,0.8612229824066162
একটা গল্প বলি।,मैं तुम्हें एक कहानी सुनाता हूँ.,నేను మీకు ఒక కథ చెబుతాను.,0,0,0,0.857146680355072,0.8571176528930664,0.9813300371170044
আমি আপনাকে একটি ভাল পরামর্শ দেব।,मैं तुम्हें एक अच्छी सलाह दूंगा।,నేను మీకు మంచి సలహా ఇస్తాను.,0,0,0,0.9879095554351807,0.9832686185836792,0.982653796672821
"মনে রাখা একটি গুরুত্বপূর্ণ বিষয় হল যে আপনি যখন এমন কিছু বলেন যা আমেরিকানরা একমত নয়, তারা নীরব থাকতে পারে।",याद रखने वाली एक महत्वपूर्ण बात यह है कि जब आप कुछ ऐसा कहते हैं जिससे अमेरिकी सहमत नहीं होते तो वे चुप रह सकते हैं।,"గుర్తుంచుకోవలసిన ముఖ్యమైన విషయం ఏమిటంటే, అమెరికన్లు అంగీకరించని విషయాన్ని మీరు చెప్పినప్పుడు, వారు మౌనంగా ఉండవచ్చు.",3,2,3,0.9732110500335693,0.9543465375900269,0.9375892877578735
আমি কি আপনাকে একটি অনুরোধ করতে পারি?,क्या मैं आपसे एक अनुरोध कर सकता हूँ?,నేను మీకు అభ్యర్థన చేయవచ్చా?,0,2,2,0.9709900617599487,0.9222952723503113,0.8957617282867432
"একটি ভুল, এবং আপনি ব্যর্থ.","एक भी गलती, और आप असफल।","ఒక తప్పు, మరియు మీరు విఫలం.",1,2,2,0.9320376515388489,0.9846165180206299,0.9326637983322144
আমার মাথায় একটা চিন্তা এলো।,मेरे मन में एक विचार आया.,నా మదిలో ఒక ఆలోచన వచ్చింది.,3,3,3,0.9676975011825562,0.9573056697845459,0.9732093811035156
একটা কথা আমি গরীব; আরেকটি বিষয় হল আমি ব্যস্ত।,एक बात तो यह है कि मैं गरीब हूं; दूसरी बात यह है कि मैं व्यस्त हूं।,ఒక విషయం ఏమిటంటే నేను పేదవాడిని; మరొక విషయం ఏమిటంటే నేను బిజీగా ఉన్నాను.,1,1,1,0.9439290165901184,0.9528659582138062,0.9708183407783508
প্রথমত আমি অর্থহীন এবং দ্বিতীয়ত আমার সময় নেই।,"एक तो मैं पैसेविहीन हूं, दूसरे मेरे पास समय नहीं है।",మొదటిది నేను డబ్బు లేనివాడిని మరియు రెండవది నాకు సమయం లేదు.,1,1,1,0.876706600189209,0.9201652407646179,0.9472131133079529
তুমি কি আমার একটা উপকার করবে?,क्या तुम मेरे लिए कुछ करोगे?,మీరు నాకు సహాయం చేస్తారా?,1,2,1,0.8915880918502808,0.8906559944152832,0.8034555912017822
